,title,creator,url,Totalstars
0,mrdoob,three.js,https://github.com/topics/3d/mrdoob,77.3k
1,libgdx,libgdx,https://github.com/topics/3d/libgdx,19.5k
2,pmndrs,react-three-fiber,https://github.com/topics/3d/pmndrs,16.2k
3,BabylonJS,Babylon.js,https://github.com/topics/3d/BabylonJS,15.6k
4,aframevr,aframe,https://github.com/topics/3d/aframevr,13.5k
5,ssloy,tinyrenderer,https://github.com/topics/3d/ssloy,11.8k
6,lettier,3d-game-shaders-for-beginners,https://github.com/topics/3d/lettier,11.8k
7,FreeCAD,FreeCAD,https://github.com/topics/3d/FreeCAD,10.4k
8,metafizzy,zdog,https://github.com/topics/3d/metafizzy,8.9k
9,CesiumGS,cesium,https://github.com/topics/3d/CesiumGS,8.1k
10,timzhang642,3D-Machine-Learning,https://github.com/topics/3d/timzhang642,7.5k
11,a1studmuffin,SpaceshipGenerator,https://github.com/topics/3d/a1studmuffin,7k
12,isl-org,Open3D,https://github.com/topics/3d/isl-org,5.9k
13,spritejs,spritejs,https://github.com/topics/3d/spritejs,4.7k
14,domlysz,BlenderGIS,https://github.com/topics/3d/domlysz,4.7k
15,tensorspace-team,tensorspace,https://github.com/topics/3d/tensorspace-team,4.5k
16,jagenjo,webglstudio.js,https://github.com/topics/3d/jagenjo,4.5k
17,YadiraF,PRNet,https://github.com/topics/3d/YadiraF,4.5k
18,openscad,openscad,https://github.com/topics/3d/openscad,4.5k
19,AaronJackson,vrn,https://github.com/topics/3d/AaronJackson,4.4k
20,blender,blender,https://github.com/topics/3d/blender,4.3k
21,ssloy,tinyraytracer,https://github.com/topics/3d/ssloy,4k
22,google,model-viewer,https://github.com/topics/3d/google,3.8k
23,mosra,magnum,https://github.com/topics/3d/mosra,3.7k
24,gfxfundamentals,webgl-fundamentals,https://github.com/topics/3d/gfxfundamentals,3.4k
25,cleardusk,3DDFA,https://github.com/topics/3d/cleardusk,3.2k
26,jasonlong,isometric-contributions,https://github.com/topics/3d/jasonlong,3.1k
27,rg3dengine,rg3d,https://github.com/topics/3d/rg3dengine,3k
28,cnr-isti-vclab,meshlab,https://github.com/topics/3d/cnr-isti-vclab,2.6k
29,antvis,L7,https://github.com/topics/3d/antvis,2.5k
